Time-periods ,System:stp_mode ,Interface:user_config ,DHCP_Relay:vrf ,System:dlog_destination ,VRF:ospf_routers ,System:qos_config ,System:2 ,Port:aclv4_routed_out_cfg_version ,Port:name ,VLAN:id ,VRF:aclv4_control_plane_cfg ,Interface:description ,Port:vlan_trunks ,System:stp_enable ,VRF:Radius_Server ,Port:lacp ,System:mirrors ,System:5.5.132.24 ,VLAN:description ,ACL:cfg_aces ,Port:port_access_clients_limit ,System:ntp_config_vrf ,Port:stp_config ,System:mstp_config_revision ,DHCP_Relay:ipv4_ucast_server ,ACL:name ,Port:loop_protect_enable ,VRF:aclv4_control_plane_cfg_version ,Port:interfaces ,Port:description ,Port:routing ,Port:vlan_tag ,VRF:Tacacs_Server ,Port:loop_protect_vlan ,Port:vrf ,DHCP_Relay:port ,Port:other_config ,Port:port_access_auth_configurations ,Port:vlan_mode ,System:bpdu_guard_timeout ,Port:admin ,System:portaccess_local_accounting_enable ,Interface:name ,Port:aclv4_routed_out_cfg ,ACL:vsx_sync ,ACL:cfg_version ,Port:l3_counters_enable ,Port:qos_config ,ACL:list_type ,VLAN:name
T1           ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                1 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       1 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              1 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T2           ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        1 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      1 ,              0 ,            0 ,        0
T3           ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               1 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        1 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      1 ,              0 ,            0 ,        0
T4           ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T5           ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T6           ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T7           ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                0 ,                     0 ,       0 ,              0 ,                0 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      0 ,              0 ,            0 ,        0
T8           ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                1 ,                     0 ,       0 ,              1 ,                1 ,                                   0 ,             0 ,                        0 ,         0 ,                                        0 ,             0 ,                        0 ,           0 ,              0 ,                      1 ,              0 ,            0 ,        0
T9           ,              0 ,                    0 ,             1 ,                      0 ,               0 ,                0 ,       1 ,                                0 ,        1 ,      1 ,                          0 ,                    0 ,               0 ,                1 ,                0 ,        0 ,             0 ,                0 ,               1 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                1 ,                     0 ,       0 ,              1 ,                1 ,                                   0 ,             0 ,                        1 ,         0 ,                                        0 ,             0 ,                        0 ,           1 ,              0 ,                      1 ,              0 ,            0 ,        0
T10          ,              0 ,                    0 ,             0 ,                      0 ,               0 ,                0 ,       0 ,                                0 ,        0 ,      0 ,                          0 ,                    0 ,               0 ,                0 ,                0 ,        0 ,             0 ,                0 ,               0 ,           0 ,                             0 ,                    0 ,              0 ,                          0 ,                           0 ,       0 ,                       0 ,                                  0 ,              0 ,               0 ,           0 ,            0 ,                1 ,                     0 ,       0 ,              0 ,                1 ,                                   0 ,             0 ,                        1 ,         0 ,                                        0 ,             0 ,                        0 ,           1 ,              0 ,                      1 ,              0 ,            0 ,        0
