Time-periods, ACL, Interface, PKI_TA_Profile, Port, SNMP_Trap, System, User, User_Group, VLAN, VRF
T1,0,0,0,1,0,0,0,0,0,1
T2,0,0,0,1,0,0,0,0,0,0
T3,0,0,0,1,0,0,0,0,0,0
T4,0,0,0,0,0,0,0,0,0,0
T5,0,0,0,0,0,0,0,0,0,0
T6,0,0,0,0,0,0,0,0,0,0
T7,0,0,0,0,0,0,0,0,0,0
T8,0,1,0,1,0,0,0,0,0,0
T9,0,1,0,1,0,1,0,0,1,0
T10,0,1,0,1,0,0,0,0,0,0
T11,0,1,0,1,0,1,0,0,0,1
T12,0,0,0,0,0,0,0,0,0,0
T13,0,0,0,0,0,0,0,0,0,0
T14,0,0,0,1,0,0,0,0,0,0
T15,0,1,0,1,0,0,0,0,0,1
T16,0,0,0,1,0,0,0,0,0,1
T17,0,0,0,1,0,1,0,0,0,1
T18,0,0,0,1,0,0,0,0,0,0
T19,0,0,0,1,0,0,0,0,0,0
T20,0,0,0,0,0,0,0,0,0,0
T21,0,0,0,0,0,1,0,0,0,0
T22,0,0,0,1,0,0,0,0,0,0
T23,0,0,0,1,0,1,0,0,0,0
T24,0,0,0,0,0,0,0,0,0,0
T25,0,0,0,1,0,1,0,0,1,1
T26,0,0,0,0,0,0,0,0,0,0
T27,0,0,0,0,0,0,0,0,0,0
T28,0,0,0,0,0,0,0,0,0,0
T29,0,1,0,1,0,0,0,0,0,1
T30,0,1,0,0,0,0,0,0,0,0
T31,0,0,0,1,0,0,0,0,1,0
T32,0,1,0,1,0,0,0,0,1,0
T33,0,0,0,0,0,0,0,0,0,0
T34,0,0,0,0,0,0,0,0,0,0
T35,0,0,0,1,0,0,0,0,0,0
T36,0,1,0,1,0,0,0,0,0,0
T37,0,1,0,1,0,1,0,0,0,1
T38,0,0,0,0,0,0,0,0,0,0
T39,0,0,0,1,0,0,0,0,0,0
T40,0,0,0,0,0,0,0,0,0,0
T41,0,0,0,0,0,0,0,0,0,0
T42,0,1,0,1,0,0,0,0,0,0
T43,0,0,0,1,0,0,0,0,0,1
T44,0,0,0,0,0,0,0,0,0,0
T45,0,0,0,0,0,0,0,0,0,0
T46,0,0,0,0,0,0,0,0,0,0
T47,0,0,0,0,0,0,0,0,0,0
T48,0,0,0,0,0,0,0,0,0,0
T49,0,0,0,0,0,0,0,0,0,0
T50,0,0,0,1,0,0,0,0,0,0
T51,0,0,0,1,0,0,0,0,0,0
T52,0,0,0,1,0,0,0,0,0,0
T53,0,0,0,0,0,0,0,0,0,0
T54,0,0,0,0,0,0,0,0,0,0
T55,0,0,0,0,0,0,0,0,0,0
T56,0,1,0,1,0,0,0,0,0,0
T57,0,1,0,1,0,0,0,0,0,1
T58,0,0,0,1,0,0,0,0,0,0
T59,0,0,0,1,0,0,0,0,0,0
T60,0,0,0,1,0,0,0,0,0,0
T61,0,0,0,0,0,0,0,0,0,0
T62,0,0,0,0,0,0,0,0,0,0
T63,0,0,0,0,0,0,0,0,0,0
T64,0,0,0,1,0,0,0,0,0,0
T65,1,0,0,1,0,1,0,0,0,1
T66,0,1,0,1,0,0,0,0,0,0
T67,0,0,0,0,0,0,0,0,0,0
T68,0,0,0,0,0,0,0,0,0,0
T69,0,0,0,0,0,0,0,0,0,0
T70,0,0,0,1,0,0,0,0,0,0
T71,0,0,0,1,0,1,0,0,0,1
T72,0,0,0,1,0,1,0,0,0,0
T73,0,1,0,1,0,1,0,0,0,0
T74,0,0,0,0,0,0,0,0,0,0
T75,0,0,0,0,0,0,0,0,0,0
T76,0,0,0,0,0,0,0,0,0,0
T77,0,0,0,1,0,0,0,0,0,0
T78,0,0,0,0,0,0,0,0,0,0
T79,0,0,0,0,0,0,0,0,0,0
T80,0,0,0,0,0,0,0,0,0,0
T81,0,0,0,0,0,0,0,0,0,0
T82,0,0,0,0,0,0,0,0,0,0
T83,0,0,0,0,0,0,0,0,0,0
T84,0,1,0,0,0,0,0,0,0,0
T85,1,1,0,1,0,1,0,0,0,1
T86,0,0,0,0,0,0,0,0,0,0
T87,0,0,0,0,0,0,0,0,0,0
T88,0,1,0,0,0,0,0,0,0,0
T89,0,0,0,0,0,0,0,0,0,0
T90,0,0,0,0,0,0,0,0,0,0
T91,0,0,0,1,0,1,0,0,0,1
T92,0,0,0,0,0,0,0,0,0,0
T93,0,0,0,0,0,0,0,0,0,0
T94,0,0,0,0,0,0,0,0,0,0
T95,0,0,0,0,0,0,0,0,0,0
T96,0,0,0,0,0,0,0,0,0,0
T97,0,0,0,0,0,0,0,0,0,0
T98,0,0,0,0,0,0,0,0,0,0
T99,0,0,0,1,0,0,0,0,0,1
T100,0,0,0,0,0,0,0,0,0,0
T101,0,0,0,0,0,0,0,0,0,0
T102,0,0,0,0,0,0,0,0,0,0
T103,0,0,0,0,0,0,0,0,0,0
T104,0,0,0,0,0,0,0,0,0,0
T105,0,1,0,1,0,0,0,0,1,0
T106,0,1,0,0,0,0,0,0,0,0
T107,0,0,0,0,0,0,0,0,0,0
T108,0,0,0,0,0,0,0,0,0,0
T109,0,0,0,0,0,0,0,0,0,0
T110,0,0,0,0,0,0,0,0,0,0
T111,0,0,0,0,0,0,0,0,0,0
T112,0,0,0,0,0,0,0,0,0,0
T113,0,0,0,1,0,0,0,0,0,1
T114,0,0,0,0,0,0,0,0,0,0
T115,0,0,0,0,0,0,0,0,0,0
T116,0,0,0,0,0,0,0,0,0,0
T117,0,0,0,0,0,0,0,0,0,0
T118,0,0,0,0,0,0,0,0,0,0
T119,0,0,0,0,0,0,0,0,0,0
T120,0,0,0,0,0,0,0,0,0,0
T121,0,0,0,0,0,0,0,0,0,0
T122,0,0,0,0,0,0,0,0,0,0
T123,0,0,0,0,0,0,0,0,0,0
T124,0,0,0,1,0,1,0,0,0,1
T125,0,0,0,0,0,0,0,0,0,0
T126,0,1,0,0,0,0,0,0,0,0
T127,0,0,0,1,0,0,0,0,0,0
T128,1,0,0,1,0,0,0,0,0,0
T129,0,1,0,0,0,0,0,0,0,0
T130,0,0,0,0,0,0,0,0,0,0
T131,0,0,0,0,0,0,0,0,0,0
T132,0,0,0,0,0,0,0,0,0,0
T133,0,0,0,0,0,0,0,0,0,0
T134,0,1,0,1,0,0,0,0,1,0
T135,0,0,0,0,0,0,0,0,0,0
T136,0,0,0,0,0,0,0,0,0,0
T137,0,0,0,0,0,0,0,0,0,0
T138,0,0,0,0,0,0,0,0,0,0
T139,0,0,0,0,0,0,0,0,0,0
T140,0,0,0,0,0,0,0,0,0,0
T141,0,0,0,1,0,0,0,0,0,1
